,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
297,Nasarawa,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.87,25343,214
298,Nasarawa,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25343,214
299,Nasarawa,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25343,214
300,Nasarawa,0.833333333,1.5,mild_to_mam_rate,0.83,0.9,0.96,25343,214
301,Nasarawa,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25343,214
302,Nasarawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25343,214
303,Nasarawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25343,214
304,Niger,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25344,214
305,Niger,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25344,214
306,Niger,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25344,214
307,Niger,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25344,214
308,Niger,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25344,214
309,Niger,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25344,214
310,Niger,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25344,214
311,Niger,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25344,214
312,Ogun,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25345,214
313,Ogun,0.5,0.833333333,mild_to_mam_rate,0.41,0.57,0.83,25345,214
314,Ogun,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.91,25345,214
315,Ogun,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25345,214
316,Ogun,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.98,25345,214
317,Ogun,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25345,214
318,Ogun,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25345,214
319,Ogun,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25345,214
320,Ondo,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.63,25346,214
321,Ondo,0.5,0.833333333,mild_to_mam_rate,0.31,0.47,0.79,25346,214
322,Ondo,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.91,25346,214
323,Ondo,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25346,214
324,Ondo,0.833333333,1.5,mild_to_mam_rate,0.86,0.93,0.99,25346,214
325,Ondo,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,0.99,25346,214
326,Ondo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25346,214
327,Ondo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25346,214
328,Oromia,0.5,0.833333333,mam_to_sam_rate,0.05,0.37,0.71,44855,179
329,Oromia,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.91,44855,179
330,Oromia,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44855,179
331,Oromia,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,44855,179
332,Oromia,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44855,179
333,Oromia,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44855,179
334,Oromia,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44855,179
335,Oromia,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44855,179
336,Osun,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.69,25347,214
337,Osun,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.87,25347,214
338,Osun,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25347,214
339,Osun,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25347,214
340,Osun,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25347,214
341,Osun,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25347,214
342,Osun,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25347,214
343,Osun,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25347,214
344,Oyo,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.69,25348,214
345,Oyo,0.5,0.833333333,mild_to_mam_rate,0.47,0.63,0.87,25348,214
346,Oyo,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25348,214
347,Oyo,0.833333333,1.5,mam_to_sam_rate,0.7,0.8,0.92,25348,214
348,Oyo,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25348,214
349,Oyo,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25348,214
350,Oyo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25348,214
351,Oyo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25348,214
352,Plateau,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25349,214
353,Plateau,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.89,25349,214
354,Plateau,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.85,0.93,25349,214
355,Plateau,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25349,214
356,Plateau,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25349,214
357,Plateau,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25349,214
358,Plateau,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25349,214
359,Plateau,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25349,214
360,Punjab,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.63,53620,165
361,Punjab,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.85,53620,165
362,Punjab,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,53620,165
363,Punjab,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53620,165
364,Punjab,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.99,53620,165
365,Punjab,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.97,53620,165
366,Punjab,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53620,165
367,Punjab,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53620,165
368,Rivers,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25350,214
369,Rivers,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,25350,214
370,Rivers,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25350,214
371,Rivers,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25350,214
372,Rivers,0.833333333,1.5,mild_to_mam_rate,0.87,0.93,0.99,25350,214
373,Rivers,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.92,0.98,25350,214
374,Rivers,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25350,214
375,Rivers,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25350,214
376,Sindh,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.53,53621,165
377,Sindh,0.5,0.833333333,mild_to_mam_rate,0.31,0.49,0.81,53621,165
378,Sindh,0.5,0.833333333,tmrel_to_mild_rate,0.53,0.65,0.87,53621,165
379,Sindh,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53621,165
380,Sindh,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.98,53621,165
381,Sindh,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.96,53621,165
382,Sindh,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53621,165
383,Sindh,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53621,165
384,Sokoto,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.63,25351,214
385,Sokoto,0.5,0.833333333,mild_to_mam_rate,0.15,0.31,0.73,25351,214
386,Sokoto,0.5,0.833333333,tmrel_to_mild_rate,0.51,0.63,0.85,25351,214
387,Sokoto,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25351,214
388,Sokoto,0.833333333,1.5,mild_to_mam_rate,0.72,0.8,0.89,25351,214
389,Sokoto,0.833333333,1.5,tmrel_to_mild_rate,0.78,0.84,0.92,25351,214
390,Sokoto,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25351,214
391,Sokoto,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25351,214
392,Somali,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,44856,179
393,Somali,0.5,0.833333333,mild_to_mam_rate,0.43,0.63,0.85,44856,179
394,Somali,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.71,0.89,44856,179
395,Somali,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,44856,179
396,Somali,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.97,44856,179
397,Somali,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.95,44856,179
398,Somali,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44856,179
399,Somali,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44856,179
400,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,mam_to_sam_rate,0.21,0.49,0.75,44858,179
401,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,mild_to_mam_rate,0.63,0.77,0.91,44858,179
402,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,44858,179
403,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,mam_to_sam_rate,0.69,0.79,0.9,44858,179
404,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,mild_to_mam_rate,0.83,0.9,0.96,44858,179
405,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44858,179
406,"Southern Nations, Nationalities, and Peoples",0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44858,179
407,"Southern Nations, Nationalities, and Peoples",0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44858,179
408,Taraba,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25352,214
409,Taraba,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25352,214
410,Taraba,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25352,214
411,Taraba,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25352,214
412,Taraba,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.94,25352,214
413,Taraba,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25352,214
414,Taraba,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25352,214
415,Taraba,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25352,214
416,Tigray,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,44852,179
417,Tigray,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,44852,179
418,Tigray,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.91,44852,179
419,Tigray,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,44852,179
420,Tigray,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44852,179
421,Tigray,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,44852,179
422,Tigray,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44852,179
423,Tigray,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44852,179
424,Yobe,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.65,25353,214
425,Yobe,0.5,0.833333333,mild_to_mam_rate,0.21,0.39,0.77,25353,214
426,Yobe,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.69,0.87,25353,214
427,Yobe,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.92,25353,214
428,Yobe,0.833333333,1.5,mild_to_mam_rate,0.77,0.86,0.94,25353,214
429,Yobe,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25353,214
430,Yobe,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25353,214
431,Yobe,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25353,214
432,Zamfara,0.5,0.833333333,mam_to_sam_rate,0.05,0.25,0.67,25354,214
433,Zamfara,0.5,0.833333333,mild_to_mam_rate,0.41,0.59,0.85,25354,214
434,Zamfara,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25354,214
435,Zamfara,0.833333333,1.5,mam_to_sam_rate,0.64,0.74,0.84,25354,214
436,Zamfara,0.833333333,1.5,mild_to_mam_rate,0.76,0.83,0.9,25354,214
437,Zamfara,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.93,25354,214
438,Zamfara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25354,214
439,Zamfara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25354,214
