,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id,effect_size
274,Osun,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,25347,214,modified
275,Osun,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,25347,214,modified
276,Osun,0.833333333,1.5,mild_to_mam_rate,0.95,0.99,1.0,25347,214,modified
277,Osun,0.833333333,1.5,tmrel_to_mild_rate,0.7,0.9,1.0,25347,214,modified
278,Osun,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25347,214,modified
279,Osun,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25347,214,modified
280,Oyo,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25348,214,modified
281,Oyo,0.5,0.833333333,mild_to_mam_rate,0.51,0.89,1.0,25348,214,modified
282,Oyo,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25348,214,modified
283,Oyo,0.833333333,1.5,mam_to_sam_rate,0.67,0.82,1.0,25348,214,modified
284,Oyo,0.833333333,1.5,mild_to_mam_rate,0.98,0.99,1.0,25348,214,modified
285,Oyo,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.93,1.0,25348,214,modified
286,Oyo,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25348,214,modified
287,Oyo,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25348,214,modified
288,Plateau,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25349,214,modified
289,Plateau,0.5,0.833333333,mild_to_mam_rate,0.57,0.91,1.0,25349,214,modified
290,Plateau,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.89,1.0,25349,214,modified
291,Plateau,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25349,214,modified
292,Plateau,0.833333333,1.5,mild_to_mam_rate,0.95,0.99,1.0,25349,214,modified
293,Plateau,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25349,214,modified
294,Plateau,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25349,214,modified
295,Plateau,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25349,214,modified
296,Punjab,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,53620,165,modified
297,Punjab,0.5,0.833333333,mild_to_mam_rate,0.49,0.89,1.0,53620,165,modified
298,Punjab,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.87,1.0,53620,165,modified
299,Punjab,0.833333333,1.5,mam_to_sam_rate,0.66,0.84,1.0,53620,165,modified
300,Punjab,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,53620,165,modified
301,Punjab,0.833333333,1.5,tmrel_to_mild_rate,0.68,0.9,1.0,53620,165,modified
302,Punjab,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,53620,165,modified
303,Punjab,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,53620,165,modified
304,Rivers,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25350,214,modified
305,Rivers,0.5,0.833333333,mild_to_mam_rate,0.59,0.91,1.0,25350,214,modified
306,Rivers,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25350,214,modified
307,Rivers,0.833333333,1.5,mam_to_sam_rate,0.67,0.87,1.0,25350,214,modified
308,Rivers,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,25350,214,modified
309,Rivers,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.92,1.0,25350,214,modified
310,Rivers,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25350,214,modified
311,Rivers,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25350,214,modified
312,Sindh,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.55,53621,165,modified
313,Sindh,0.5,0.833333333,mild_to_mam_rate,0.33,0.49,0.77,53621,165,modified
314,Sindh,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.73,0.93,53621,165,modified
315,Sindh,0.833333333,1.5,mam_to_sam_rate,0.62,0.76,0.92,53621,165,modified
316,Sindh,0.833333333,1.5,mild_to_mam_rate,0.91,0.93,0.94,53621,165,modified
317,Sindh,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.82,0.97,53621,165,modified
318,Sindh,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,53621,165,modified
319,Sindh,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,53621,165,modified
320,Sokoto,0.5,0.833333333,mam_to_sam_rate,0.05,0.09,0.65,25351,214,modified
321,Sokoto,0.5,0.833333333,mild_to_mam_rate,0.19,0.31,0.71,25351,214,modified
322,Sokoto,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.71,0.91,25351,214,modified
323,Sokoto,0.833333333,1.5,mam_to_sam_rate,0.59,0.72,0.88,25351,214,modified
324,Sokoto,0.833333333,1.5,mild_to_mam_rate,0.72,0.79,0.86,25351,214,modified
325,Sokoto,0.833333333,1.5,tmrel_to_mild_rate,0.7,0.79,0.93,25351,214,modified
326,Sokoto,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25351,214,modified
327,Sokoto,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25351,214,modified
328,Taraba,0.5,0.833333333,mam_to_sam_rate,0.05,0.57,1.0,25352,214,modified
329,Taraba,0.5,0.833333333,mild_to_mam_rate,0.57,0.91,1.0,25352,214,modified
330,Taraba,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.89,1.0,25352,214,modified
331,Taraba,0.833333333,1.5,mam_to_sam_rate,0.63,0.81,1.0,25352,214,modified
332,Taraba,0.833333333,1.5,mild_to_mam_rate,0.94,0.99,1.0,25352,214,modified
333,Taraba,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25352,214,modified
334,Taraba,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25352,214,modified
335,Taraba,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25352,214,modified
336,Yobe,0.5,0.833333333,mam_to_sam_rate,0.05,0.07,0.63,25353,214,modified
337,Yobe,0.5,0.833333333,mild_to_mam_rate,0.23,0.37,0.73,25353,214,modified
338,Yobe,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.75,0.93,25353,214,modified
339,Yobe,0.833333333,1.5,mam_to_sam_rate,0.63,0.77,0.94,25353,214,modified
340,Yobe,0.833333333,1.5,mild_to_mam_rate,0.77,0.84,0.91,25353,214,modified
341,Yobe,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.82,0.95,25353,214,modified
342,Yobe,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25353,214,modified
343,Yobe,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25353,214,modified
344,Zamfara,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.67,25354,214,modified
345,Zamfara,0.5,0.833333333,mild_to_mam_rate,0.41,0.55,0.81,25354,214,modified
346,Zamfara,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.95,25354,214,modified
347,Zamfara,0.833333333,1.5,mam_to_sam_rate,0.58,0.71,0.86,25354,214,modified
348,Zamfara,0.833333333,1.5,mild_to_mam_rate,0.77,0.82,0.87,25354,214,modified
349,Zamfara,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.81,0.94,25354,214,modified
350,Zamfara,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25354,214,modified
351,Zamfara,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25354,214,modified
352,Abia,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25318,214,standard
353,Abia,0.5,0.833333333,mild_to_mam_rate,0.29,0.49,0.81,25318,214,standard
354,Abia,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25318,214,standard
355,Abia,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25318,214,standard
356,Abia,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.94,25318,214,standard
357,Abia,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25318,214,standard
358,Abia,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25318,214,standard
359,Abia,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25318,214,standard
360,Adamawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25319,214,standard
361,Adamawa,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25319,214,standard
362,Adamawa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25319,214,standard
363,Adamawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.87,25319,214,standard
364,Adamawa,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25319,214,standard
365,Adamawa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25319,214,standard
366,Adamawa,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25319,214,standard
367,Adamawa,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25319,214,standard
368,Akwa Ibom,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25320,214,standard
369,Akwa Ibom,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25320,214,standard
370,Akwa Ibom,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25320,214,standard
371,Akwa Ibom,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25320,214,standard
372,Akwa Ibom,0.833333333,1.5,mild_to_mam_rate,0.79,0.87,0.94,25320,214,standard
373,Akwa Ibom,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25320,214,standard
374,Akwa Ibom,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25320,214,standard
375,Akwa Ibom,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25320,214,standard
376,Anambra,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25321,214,standard
377,Anambra,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25321,214,standard
378,Anambra,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25321,214,standard
379,Anambra,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25321,214,standard
380,Anambra,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25321,214,standard
381,Anambra,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.9,0.97,25321,214,standard
382,Anambra,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25321,214,standard
383,Anambra,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25321,214,standard
384,Azad Jammu & Kashmir,0.5,0.833333333,mam_to_sam_rate,0.09,0.39,0.71,53615,165,standard
385,Azad Jammu & Kashmir,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,53615,165,standard
386,Azad Jammu & Kashmir,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,53615,165,standard
387,Azad Jammu & Kashmir,0.833333333,1.5,mam_to_sam_rate,0.67,0.8,0.88,53615,165,standard
388,Azad Jammu & Kashmir,0.833333333,1.5,mild_to_mam_rate,0.9,0.9,0.97,53615,165,standard
389,Azad Jammu & Kashmir,0.833333333,1.5,tmrel_to_mild_rate,0.9,0.9,0.97,53615,165,standard
390,Azad Jammu & Kashmir,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53615,165,standard
391,Azad Jammu & Kashmir,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53615,165,standard
392,Balochistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.29,53616,165,standard
393,Balochistan,0.5,0.833333333,mild_to_mam_rate,0.07,0.29,0.61,53616,165,standard
394,Balochistan,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.57,0.77,53616,165,standard
395,Balochistan,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,53616,165,standard
396,Balochistan,0.833333333,1.5,mild_to_mam_rate,0.86,0.92,0.97,53616,165,standard
397,Balochistan,0.833333333,1.5,tmrel_to_mild_rate,0.77,0.84,0.93,53616,165,standard
398,Balochistan,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53616,165,standard
399,Balochistan,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53616,165,standard
400,Bauchi,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.69,25322,214,standard
401,Bauchi,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25322,214,standard
402,Bauchi,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25322,214,standard
403,Bauchi,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25322,214,standard
404,Bauchi,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.93,25322,214,standard
405,Bauchi,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.94,25322,214,standard
406,Bauchi,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25322,214,standard
407,Bauchi,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25322,214,standard
408,Bayelsa,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25323,214,standard
409,Bayelsa,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25323,214,standard
410,Bayelsa,0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,25323,214,standard
411,Bayelsa,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25323,214,standard
412,Bayelsa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25323,214,standard
413,Bayelsa,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25323,214,standard
414,Bayelsa,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25323,214,standard
415,Bayelsa,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25323,214,standard
416,Benue,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25324,214,standard
417,Benue,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25324,214,standard
418,Benue,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25324,214,standard
419,Benue,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.89,25324,214,standard
420,Benue,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25324,214,standard
421,Benue,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25324,214,standard
422,Benue,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25324,214,standard
423,Benue,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25324,214,standard
424,Borno,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,25325,214,standard
425,Borno,0.5,0.833333333,mild_to_mam_rate,0.25,0.43,0.77,25325,214,standard
426,Borno,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.71,0.87,25325,214,standard
427,Borno,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25325,214,standard
428,Borno,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.93,25325,214,standard
429,Borno,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25325,214,standard
430,Borno,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25325,214,standard
431,Borno,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25325,214,standard
432,Cross River,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25326,214,standard
433,Cross River,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25326,214,standard
434,Cross River,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.81,0.93,25326,214,standard
435,Cross River,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,25326,214,standard
436,Cross River,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25326,214,standard
437,Cross River,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25326,214,standard
438,Cross River,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25326,214,standard
439,Cross River,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25326,214,standard
440,Delta,0.5,0.833333333,mam_to_sam_rate,0.05,0.25,0.67,25327,214,standard
441,Delta,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25327,214,standard
442,Delta,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25327,214,standard
443,Delta,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25327,214,standard
444,Delta,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25327,214,standard
445,Delta,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25327,214,standard
446,Delta,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25327,214,standard
447,Delta,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25327,214,standard
448,Ebonyi,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25328,214,standard
449,Ebonyi,0.5,0.833333333,mild_to_mam_rate,0.37,0.57,0.83,25328,214,standard
450,Ebonyi,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25328,214,standard
451,Ebonyi,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25328,214,standard
452,Ebonyi,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25328,214,standard
453,Ebonyi,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25328,214,standard
454,Ebonyi,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25328,214,standard
455,Ebonyi,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25328,214,standard
456,Edo,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25329,214,standard
457,Edo,0.5,0.833333333,mild_to_mam_rate,0.37,0.55,0.83,25329,214,standard
458,Edo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25329,214,standard
459,Edo,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25329,214,standard
460,Edo,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25329,214,standard
461,Edo,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25329,214,standard
462,Edo,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25329,214,standard
463,Edo,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25329,214,standard
464,Ekiti,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25330,214,standard
465,Ekiti,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25330,214,standard
466,Ekiti,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25330,214,standard
467,Ekiti,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25330,214,standard
468,Ekiti,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25330,214,standard
469,Ekiti,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25330,214,standard
470,Ekiti,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25330,214,standard
471,Ekiti,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25330,214,standard
472,Enugu,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.71,25331,214,standard
473,Enugu,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25331,214,standard
474,Enugu,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.85,0.95,25331,214,standard
475,Enugu,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25331,214,standard
476,Enugu,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25331,214,standard
477,Enugu,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25331,214,standard
478,Enugu,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25331,214,standard
479,Enugu,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25331,214,standard
480,FCT (Abuja),0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25332,214,standard
481,FCT (Abuja),0.5,0.833333333,mild_to_mam_rate,0.59,0.73,0.91,25332,214,standard
482,FCT (Abuja),0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25332,214,standard
483,FCT (Abuja),0.833333333,1.5,mam_to_sam_rate,0.71,0.82,0.94,25332,214,standard
484,FCT (Abuja),0.833333333,1.5,mild_to_mam_rate,0.88,0.94,1.0,25332,214,standard
485,FCT (Abuja),0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25332,214,standard
486,FCT (Abuja),0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25332,214,standard
487,FCT (Abuja),0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25332,214,standard
488,Gilgit-Baltistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,53617,165,standard
489,Gilgit-Baltistan,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53617,165,standard
490,Gilgit-Baltistan,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,53617,165,standard
491,Gilgit-Baltistan,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,53617,165,standard
492,Gilgit-Baltistan,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.98,53617,165,standard
493,Gilgit-Baltistan,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,1.0,53617,165,standard
494,Gilgit-Baltistan,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53617,165,standard
495,Gilgit-Baltistan,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53617,165,standard
496,Gombe,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.69,25333,214,standard
497,Gombe,0.5,0.833333333,mild_to_mam_rate,0.47,0.65,0.87,25333,214,standard
498,Gombe,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.91,25333,214,standard
499,Gombe,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25333,214,standard
500,Gombe,0.833333333,1.5,mild_to_mam_rate,0.79,0.86,0.93,25333,214,standard
501,Gombe,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.95,25333,214,standard
502,Gombe,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25333,214,standard
503,Gombe,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25333,214,standard
504,Imo,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25334,214,standard
505,Imo,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.85,25334,214,standard
506,Imo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25334,214,standard
507,Imo,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25334,214,standard
508,Imo,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25334,214,standard
509,Imo,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25334,214,standard
510,Imo,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25334,214,standard
511,Imo,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25334,214,standard
512,Islamabad Capital Territory,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,53618,165,standard
513,Islamabad Capital Territory,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53618,165,standard
514,Islamabad Capital Territory,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,53618,165,standard
515,Islamabad Capital Territory,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53618,165,standard
516,Islamabad Capital Territory,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.99,53618,165,standard
517,Islamabad Capital Territory,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,0.99,53618,165,standard
518,Islamabad Capital Territory,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53618,165,standard
519,Islamabad Capital Territory,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53618,165,standard
520,Jigawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25335,214,standard
521,Jigawa,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25335,214,standard
522,Jigawa,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25335,214,standard
523,Jigawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25335,214,standard
524,Jigawa,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.92,25335,214,standard
525,Jigawa,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.94,25335,214,standard
526,Jigawa,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25335,214,standard
527,Jigawa,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25335,214,standard
528,Kaduna,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25336,214,standard
529,Kaduna,0.5,0.833333333,mild_to_mam_rate,0.39,0.57,0.85,25336,214,standard
530,Kaduna,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25336,214,standard
531,Kaduna,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25336,214,standard
532,Kaduna,0.833333333,1.5,mild_to_mam_rate,0.81,0.88,0.95,25336,214,standard
533,Kaduna,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25336,214,standard
534,Kaduna,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25336,214,standard
535,Kaduna,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25336,214,standard
536,Kano,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25337,214,standard
537,Kano,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25337,214,standard
538,Kano,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25337,214,standard
539,Kano,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.88,25337,214,standard
540,Kano,0.833333333,1.5,mild_to_mam_rate,0.78,0.85,0.93,25337,214,standard
541,Kano,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25337,214,standard
542,Kano,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25337,214,standard
543,Kano,0.0,5.0,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25337,214,standard
544,Katsina,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,25338,214,standard
545,Katsina,0.5,0.833333333,mild_to_mam_rate,0.31,0.49,0.81,25338,214,standard
546,Katsina,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25338,214,standard
547,Katsina,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25338,214,standard
548,Katsina,0.833333333,1.5,mild_to_mam_rate,0.77,0.84,0.92,25338,214,standard
549,Katsina,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25338,214,standard
550,Katsina,0.0,5.0,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25338,214,standard
