,effect_size,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
278,standard,Kogi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25340,214
279,standard,Kogi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25340,214
280,standard,Kwara,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25341,214
281,standard,Kwara,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.87,25341,214
282,standard,Kwara,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25341,214
283,standard,Kwara,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,25341,214
284,standard,Kwara,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25341,214
285,standard,Kwara,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,25341,214
286,standard,Kwara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25341,214
287,standard,Kwara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25341,214
288,standard,Lagos,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25342,214
289,standard,Lagos,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25342,214
290,standard,Lagos,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25342,214
291,standard,Lagos,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,25342,214
292,standard,Lagos,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25342,214
293,standard,Lagos,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25342,214
294,standard,Lagos,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25342,214
295,standard,Lagos,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25342,214
296,standard,Nasarawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25343,214
297,standard,Nasarawa,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.87,25343,214
298,standard,Nasarawa,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25343,214
299,standard,Nasarawa,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25343,214
300,standard,Nasarawa,0.833333333,1.5,mild_to_mam_rate,0.83,0.9,0.96,25343,214
301,standard,Nasarawa,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25343,214
302,standard,Nasarawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25343,214
303,standard,Nasarawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25343,214
304,standard,Niger,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25344,214
305,standard,Niger,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25344,214
306,standard,Niger,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25344,214
307,standard,Niger,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25344,214
308,standard,Niger,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25344,214
309,standard,Niger,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25344,214
310,standard,Niger,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25344,214
311,standard,Niger,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25344,214
312,standard,Ogun,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25345,214
313,standard,Ogun,0.5,0.833333333,mild_to_mam_rate,0.41,0.57,0.83,25345,214
314,standard,Ogun,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.91,25345,214
315,standard,Ogun,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25345,214
316,standard,Ogun,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.98,25345,214
317,standard,Ogun,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25345,214
318,standard,Ogun,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25345,214
319,standard,Ogun,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25345,214
320,standard,Ondo,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.63,25346,214
321,standard,Ondo,0.5,0.833333333,mild_to_mam_rate,0.31,0.47,0.79,25346,214
322,standard,Ondo,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.91,25346,214
323,standard,Ondo,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25346,214
324,standard,Ondo,0.833333333,1.5,mild_to_mam_rate,0.86,0.93,0.99,25346,214
325,standard,Ondo,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,0.99,25346,214
326,standard,Ondo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25346,214
327,standard,Ondo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25346,214
328,standard,Oromia,0.5,0.833333333,mam_to_sam_rate,0.05,0.37,0.71,44855,179
329,standard,Oromia,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.91,44855,179
330,standard,Oromia,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44855,179
331,standard,Oromia,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,44855,179
332,standard,Oromia,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44855,179
333,standard,Oromia,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44855,179
334,standard,Oromia,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44855,179
335,standard,Oromia,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44855,179
336,standard,Osun,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.69,25347,214
337,standard,Osun,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.87,25347,214
338,standard,Osun,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25347,214
339,standard,Osun,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25347,214
340,standard,Osun,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25347,214
341,standard,Osun,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25347,214
342,standard,Osun,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25347,214
343,standard,Osun,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25347,214
344,standard,Oyo,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.69,25348,214
345,standard,Oyo,0.5,0.833333333,mild_to_mam_rate,0.47,0.63,0.87,25348,214
346,standard,Oyo,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25348,214
347,standard,Oyo,0.833333333,1.5,mam_to_sam_rate,0.7,0.8,0.92,25348,214
348,standard,Oyo,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25348,214
349,standard,Oyo,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25348,214
350,standard,Oyo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25348,214
351,standard,Oyo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25348,214
352,standard,Plateau,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25349,214
353,standard,Plateau,0.5,0.833333333,mild_to_mam_rate,0.51,0.67,0.89,25349,214
354,standard,Plateau,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.85,0.93,25349,214
355,standard,Plateau,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25349,214
356,standard,Plateau,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25349,214
357,standard,Plateau,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25349,214
358,standard,Plateau,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25349,214
359,standard,Plateau,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25349,214
360,standard,Punjab,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.63,53620,165
361,standard,Punjab,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.85,53620,165
362,standard,Punjab,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,53620,165
363,standard,Punjab,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53620,165
364,standard,Punjab,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.99,53620,165
365,standard,Punjab,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.97,53620,165
366,standard,Punjab,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53620,165
367,standard,Punjab,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53620,165
368,standard,Rivers,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25350,214
369,standard,Rivers,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,25350,214
370,standard,Rivers,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25350,214
371,standard,Rivers,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,25350,214
372,standard,Rivers,0.833333333,1.5,mild_to_mam_rate,0.87,0.93,0.99,25350,214
373,standard,Rivers,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.92,0.98,25350,214
374,standard,Rivers,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25350,214
375,standard,Rivers,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25350,214
376,standard,Sindh,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.53,53621,165
377,standard,Sindh,0.5,0.833333333,mild_to_mam_rate,0.31,0.49,0.81,53621,165
378,standard,Sindh,0.5,0.833333333,tmrel_to_mild_rate,0.53,0.65,0.87,53621,165
379,standard,Sindh,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53621,165
380,standard,Sindh,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.98,53621,165
381,standard,Sindh,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.96,53621,165
382,standard,Sindh,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53621,165
383,standard,Sindh,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53621,165
384,standard,Sokoto,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.63,25351,214
385,standard,Sokoto,0.5,0.833333333,mild_to_mam_rate,0.15,0.31,0.73,25351,214
386,standard,Sokoto,0.5,0.833333333,tmrel_to_mild_rate,0.51,0.63,0.85,25351,214
387,standard,Sokoto,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25351,214
388,standard,Sokoto,0.833333333,1.5,mild_to_mam_rate,0.72,0.8,0.89,25351,214
389,standard,Sokoto,0.833333333,1.5,tmrel_to_mild_rate,0.78,0.84,0.92,25351,214
390,standard,Sokoto,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25351,214
391,standard,Sokoto,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25351,214
392,standard,Somali,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,44856,179
393,standard,Somali,0.5,0.833333333,mild_to_mam_rate,0.43,0.63,0.85,44856,179
394,standard,Somali,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.71,0.89,44856,179
395,standard,Somali,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,44856,179
396,standard,Somali,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.97,44856,179
397,standard,Somali,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.95,44856,179
398,standard,Somali,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44856,179
399,standard,Somali,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44856,179
400,standard,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,mam_to_sam_rate,0.21,0.49,0.75,44858,179
401,standard,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,mild_to_mam_rate,0.63,0.77,0.91,44858,179
402,standard,"Southern Nations, Nationalities, and Peoples",0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,44858,179
403,standard,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,mam_to_sam_rate,0.69,0.79,0.9,44858,179
404,standard,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,mild_to_mam_rate,0.83,0.9,0.96,44858,179
405,standard,"Southern Nations, Nationalities, and Peoples",0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44858,179
406,standard,"Southern Nations, Nationalities, and Peoples",0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44858,179
407,standard,"Southern Nations, Nationalities, and Peoples",0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44858,179
408,standard,Taraba,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25352,214
409,standard,Taraba,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25352,214
410,standard,Taraba,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25352,214
411,standard,Taraba,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25352,214
412,standard,Taraba,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.94,25352,214
413,standard,Taraba,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25352,214
414,standard,Taraba,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25352,214
415,standard,Taraba,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25352,214
416,standard,Tigray,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,44852,179
417,standard,Tigray,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,44852,179
418,standard,Tigray,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.91,44852,179
419,standard,Tigray,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,44852,179
420,standard,Tigray,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44852,179
421,standard,Tigray,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,44852,179
422,standard,Tigray,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44852,179
423,standard,Tigray,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44852,179
424,standard,Yobe,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.65,25353,214
425,standard,Yobe,0.5,0.833333333,mild_to_mam_rate,0.21,0.39,0.77,25353,214
426,standard,Yobe,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.69,0.87,25353,214
427,standard,Yobe,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.92,25353,214
428,standard,Yobe,0.833333333,1.5,mild_to_mam_rate,0.77,0.86,0.94,25353,214
429,standard,Yobe,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25353,214
430,standard,Yobe,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25353,214
431,standard,Yobe,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25353,214
432,standard,Zamfara,0.5,0.833333333,mam_to_sam_rate,0.05,0.25,0.67,25354,214
433,standard,Zamfara,0.5,0.833333333,mild_to_mam_rate,0.41,0.59,0.85,25354,214
434,standard,Zamfara,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25354,214
435,standard,Zamfara,0.833333333,1.5,mam_to_sam_rate,0.64,0.74,0.84,25354,214
436,standard,Zamfara,0.833333333,1.5,mild_to_mam_rate,0.76,0.83,0.9,25354,214
437,standard,Zamfara,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.93,25354,214
438,standard,Zamfara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25354,214
439,standard,Zamfara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25354,214
440,modified,Abia,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25318,214
441,modified,Abia,0.5,0.833333333,mild_to_mam_rate,0.29,0.49,0.81,25318,214
442,modified,Abia,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25318,214
443,modified,Abia,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25318,214
444,modified,Abia,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.94,25318,214
445,modified,Abia,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25318,214
446,modified,Abia,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25318,214
447,modified,Abia,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25318,214
448,modified,Adamawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25319,214
449,modified,Adamawa,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25319,214
450,modified,Adamawa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25319,214
451,modified,Adamawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.87,25319,214
452,modified,Adamawa,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25319,214
453,modified,Adamawa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25319,214
454,modified,Adamawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25319,214
455,modified,Adamawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25319,214
456,modified,Addis Ababa,0.5,0.833333333,mam_to_sam_rate,0.05,0.35,0.71,44861,179
457,modified,Addis Ababa,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.89,44861,179
458,modified,Addis Ababa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.95,44861,179
459,modified,Addis Ababa,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44861,179
460,modified,Addis Ababa,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44861,179
461,modified,Addis Ababa,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.92,0.98,44861,179
462,modified,Addis Ababa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44861,179
463,modified,Addis Ababa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44861,179
464,modified,Afar,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.69,44853,179
465,modified,Afar,0.5,0.833333333,mild_to_mam_rate,0.49,0.69,0.89,44853,179
466,modified,Afar,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,44853,179
467,modified,Afar,0.833333333,1.5,mam_to_sam_rate,0.7,0.8,0.92,44853,179
468,modified,Afar,0.833333333,1.5,mild_to_mam_rate,0.81,0.87,0.94,44853,179
469,modified,Afar,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.87,0.97,44853,179
470,modified,Afar,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44853,179
471,modified,Afar,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44853,179
472,modified,Akwa Ibom,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25320,214
473,modified,Akwa Ibom,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25320,214
474,modified,Akwa Ibom,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25320,214
475,modified,Akwa Ibom,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25320,214
476,modified,Akwa Ibom,0.833333333,1.5,mild_to_mam_rate,0.79,0.87,0.94,25320,214
477,modified,Akwa Ibom,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25320,214
478,modified,Akwa Ibom,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25320,214
479,modified,Akwa Ibom,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25320,214
480,modified,Amhara,0.5,0.833333333,mam_to_sam_rate,0.05,0.37,0.71,44854,179
481,modified,Amhara,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44854,179
482,modified,Amhara,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,44854,179
483,modified,Amhara,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,44854,179
484,modified,Amhara,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.96,44854,179
485,modified,Amhara,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,44854,179
486,modified,Amhara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44854,179
487,modified,Amhara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44854,179
488,modified,Anambra,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25321,214
489,modified,Anambra,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25321,214
490,modified,Anambra,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25321,214
491,modified,Anambra,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25321,214
492,modified,Anambra,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25321,214
493,modified,Anambra,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.9,0.97,25321,214
494,modified,Anambra,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25321,214
495,modified,Anambra,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25321,214
496,modified,Azad Jammu & Kashmir,0.5,0.833333333,mam_to_sam_rate,0.09,0.39,0.71,53615,165
497,modified,Azad Jammu & Kashmir,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,53615,165
498,modified,Azad Jammu & Kashmir,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,53615,165
499,modified,Azad Jammu & Kashmir,0.833333333,1.5,mam_to_sam_rate,0.67,0.8,0.88,53615,165
500,modified,Azad Jammu & Kashmir,0.833333333,1.5,mild_to_mam_rate,0.93,0.9,0.97,53615,165
501,modified,Azad Jammu & Kashmir,0.833333333,1.5,tmrel_to_mild_rate,0.92,0.9,0.97,53615,165
502,modified,Azad Jammu & Kashmir,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53615,165
503,modified,Azad Jammu & Kashmir,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53615,165
504,modified,Balochistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.29,53616,165
505,modified,Balochistan,0.5,0.833333333,mild_to_mam_rate,0.07,0.29,0.61,53616,165
506,modified,Balochistan,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.57,0.77,53616,165
507,modified,Balochistan,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,53616,165
508,modified,Balochistan,0.833333333,1.5,mild_to_mam_rate,0.86,0.92,0.97,53616,165
509,modified,Balochistan,0.833333333,1.5,tmrel_to_mild_rate,0.77,0.84,0.93,53616,165
510,modified,Balochistan,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53616,165
511,modified,Balochistan,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53616,165
512,modified,Bauchi,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.69,25322,214
513,modified,Bauchi,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25322,214
514,modified,Bauchi,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25322,214
515,modified,Bauchi,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25322,214
516,modified,Bauchi,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.93,25322,214
517,modified,Bauchi,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.94,25322,214
518,modified,Bauchi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25322,214
519,modified,Bauchi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25322,214
520,modified,Bayelsa,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25323,214
521,modified,Bayelsa,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25323,214
522,modified,Bayelsa,0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,25323,214
523,modified,Bayelsa,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25323,214
524,modified,Bayelsa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25323,214
525,modified,Bayelsa,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25323,214
526,modified,Bayelsa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25323,214
527,modified,Bayelsa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25323,214
528,modified,Benishangul-Gumuz,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.67,44857,179
529,modified,Benishangul-Gumuz,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44857,179
530,modified,Benishangul-Gumuz,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44857,179
531,modified,Benishangul-Gumuz,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44857,179
532,modified,Benishangul-Gumuz,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,44857,179
533,modified,Benishangul-Gumuz,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.97,44857,179
534,modified,Benishangul-Gumuz,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44857,179
535,modified,Benishangul-Gumuz,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44857,179
536,modified,Benue,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25324,214
537,modified,Benue,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25324,214
538,modified,Benue,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25324,214
539,modified,Benue,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.89,25324,214
540,modified,Benue,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25324,214
541,modified,Benue,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25324,214
542,modified,Benue,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25324,214
543,modified,Benue,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25324,214
544,modified,Borno,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,25325,214
545,modified,Borno,0.5,0.833333333,mild_to_mam_rate,0.25,0.43,0.77,25325,214
546,modified,Borno,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.71,0.87,25325,214
547,modified,Borno,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25325,214
548,modified,Borno,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.93,25325,214
549,modified,Borno,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25325,214
550,modified,Borno,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25325,214
551,modified,Borno,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25325,214
552,modified,Cross River,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25326,214
553,modified,Cross River,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25326,214
554,modified,Cross River,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.81,0.93,25326,214
555,modified,Cross River,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,25326,214
556,modified,Cross River,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25326,214
557,modified,Cross River,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25326,214
558,modified,Cross River,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25326,214
559,modified,Cross River,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25326,214
